planet_name;number_of_stars;orbital_period;orbit_semi_major_axis;planet_radius;Inclination;eccentricity;insolation_flux;Radial_Velocity_Amplitude;planet_temperature;star_temperature;star_radius;star_mass
11 Com b;2;326.03000000;1.290000;;;0.231000;;302.800;;4742.00;19.00;2.70
11 Com b;2;;1.210000;;;;;;;;;2.60
11 Com b;2;323.21000000;1.178000;;;0.238000;;288.630;;4874.00;13.76;2.09
11 UMi b;1;516.21997000;1.530000;;;0.080000;;189.700;;4213.00;29.79;2.78
11 UMi b;1;516.22000000;1.540000;;;0.080000;;189.700;;4340.00;24.08;1.80
11 UMi b;1;;1.510000;;;;;;;;;1.70
14 And b;1;185.84000000;0.830000;;;0.000000;;100.000;;4813.00;11.00;2.20
14 And b;1;186.76000000;0.775000;;;0.000000;;86.080;;4888.00;11.55;1.78
14 And b;1;;0.680000;;;;;;;;;1.20
14 Her b;1;1773.40002000;2.930000;;;0.370000;;90.000;;5338.00;0.93;0.90
14 Her b;1;1724.00000000;2.820000;;;0.370000;;89.000;;;;1.00
14 Her b;1;1796.40000000;2.800000;;;0.338000;;90.300;;5255.00;;0.90
14 Her b;1;1773.40000000;2.770000;;;0.369000;;90.000;;;;
14 Her b;1;;2.730000;;;0.357000;;;;;;0.90
14 Her b;1;1765.03890000;2.774000;;144.652;0.373000;;89.582;;;;0.91
14 Her b;1;1766.00000000;2.864000;;;0.359000;;;;5280.00;1.00;0.91
14 Her b;1;1766.41000000;2.830000;;;0.367400;;89.490;;5314.94;1.00;0.97
16 Cyg B b;3;798.50000000;1.660000;;;0.680000;;50.500;;5750.00;1.13;1.08
16 Cyg B b;3;799.45000000;1.676000;;;0.683200;;53.160;;5711.97;1.16;0.98
16 Cyg B b;3;798.50000000;1.681000;;;0.681000;;50.500;;5674.00;;0.99
16 Cyg B b;3;800.80000000;1.600000;;;0.634000;;43.900;;5760.00;;1.00
16 Cyg B b;3;799.50000000;1.680000;;;0.689000;;51.200;;5747.00;1.13;1.03
16 Cyg B b;3;799.50000000;1.680000;;;0.689000;;51.200;;;;
17 Sco b;1;578.38000000;1.450000;;;0.060000;;92.400;;4157.00;25.92;1.22
18 Del b;2;982.85000000;2.476000;;;0.024000;;114.960;;4980.00;8.80;2.10
18 Del b;2;;2.540000;;;;;;;;;2.10
18 Del b;2;993.30000000;2.600000;;;0.080000;;119.400;;4979.00;8.50;2.30
1RXS J160929.1-210524 b;1;;330.000000;;;;;;1700;4060.00;;0.85
1RXS J160929.1-210524 b;1;;330.000000;;;;;;1700;4060.00;;0.85
1RXS J160929.1-210524 b;1;;330.000000;;;;;;1800;3993.00;1.31;0.62
1RXS J160929.1-210524 b;1;;330.000000;18.647;;;;;1800;4060.00;1.35;0.85
24 Boo b;1;30.35060000;0.190000;;;0.042000;;59.900;;4893.00;10.64;0.99
24 Boo b;1;30.33000000;0.194000;;;0.032000;;55.670;;4816.00;12.19;1.05
24 Sex b;1;452.80000000;1.333000;;;0.090000;;40.000;;5098.00;4.90;1.54
24 Sex c;1;883.00000000;2.080000;;;0.290000;;14.500;;5098.00;4.90;1.54
2M0437 b;1;;118.000000;;;;;;1450;3100.00;0.84;0.17
2MASS J01033563-5515561 AB b;2;;84.000000;;;;;;;;;0.19
2MASS J01225093-2439505 b;1;;;11.209;;;;;1600;3309.00;0.37;0.35
2MASS J01225093-2439505 b;1;;52.000000;;;;;;;3530.00;;0.40
2MASS J02192210-3925225 b;1;;156.000000;16.141;;;;;;3064.00;0.28;0.11
2MASS J0249-0557 c;2;;1950.000000;;;;;;;;;0.05
2MASS J03590986+2009361 b;1;;572.000000;;;;;;2369;;;
2MASS J04414489+2301513 b;1;;15.000000;;;;;;;;;0.02
2MASS J11011926-7732383 b;1;;266.000000;;;;;;2677;;;
2MASS J11550485-7919108 b;1;;587.000000;;;;;;2506;;;
2MASS J12073346-3932539 b;1;;55.000000;;;;;;1250;;;0.02
2MASS J12073346-3932539 b;1;;46.000000;;;;;;1150;2825.00;0.22;0.19
2MASS J19383260+4603591 b;2;406.00000000;;;;0.330000;;;;29564.00;0.20;0.48
2MASS J19383260+4603591 b;2;416.00000000;0.920000;;;;;;;;;0.48
2MASS J21252752-8138278 b;1;;7493.000000;;;;;;1616;;;
2MASS J22362452+4751425 b;1;;230.000000;;;;;;;4045.00;;0.60
30 Ari B b;4;335.10000000;0.995000;;;0.289000;;272.000;;6300.00;1.13;1.16
30 Ari B b;4;345.40000000;1.010000;;;0.180000;;177.000;;;1.13;1.16
30 Ari B b;4;335.10001000;0.990000;;;0.290000;;272.000;;6331.00;1.41;1.93
4 UMa b;1;269.30000000;0.870000;;;0.432000;;215.550;;4415.00;18.11;1.23
4 UMa b;1;270.27000000;0.877000;;;0.453000;;242.240;;4415.00;18.11;1.23
42 Dra b;2;479.10000000;1.190000;;;0.380000;;110.500;;4200.00;22.03;0.98
47 UMa b;1;1078.00000000;2.100000;;;0.032000;;48.400;;5872.00;1.21;1.06
47 UMa b;1;1100.80000000;2.110000;;;0.097000;;53.600;;;;
47 UMa b;1;1083.20000000;2.110000;;;0.049000;;49.300;;;;
47 UMa b;1;1076.60000000;2.059000;;;0.016000;;48.160;;5829.16;1.14;1.01
