planet_name,number_of_stars,orbital_period,orbit_semi_major_axis,planet_radius,Inclination,eccentricity,insolation_flux,planet_temperature,star_temperature,star_radius,star_mass
AU Mic c,1,18.85969,0.1108,2.522,89.227,0.00338,7.3,459.0,3678.0,0.74,0.51
G 9-40 b,1,5.7459982,0.0418,1.9,89.03,0.0,6.27,441.0,3395.0,0.3,0.3
GJ 1214 b,1,1.58040453,0.01505,2.733,88.98,0.0062,17.2,567.0,3101.0,0.22,0.18
GJ 3473 b,2,1.1980035,0.01589,1.264,87.95,0.0,59.4,773.0,3347.0,0.36,0.36
GJ 367 b,1,0.3219225,0.00709,699.0,79.89,0.06,579.0,1365.0,3522.0,0.46,0.46
GJ 486 b,1,1.46712127,0.01714,1.289,89.39,0.00086,39.2,696.0,3317.0,0.32,0.31
GPX-1 b,1,1.744579,0.0338,16.477,79.9,0.0,4650.0,2300.0,7000.0,1.56,1.68
Gliese 12 b,1,12.761408,0.0668,958.0,89.194,0.5,1.62,315.0,3296.0,0.26,0.24
HAT-P-32 b,2,2.1500082,0.03397,22.194,88.98,0.159,1841.0,1836.0,6001.0,1.37,1.13
HAT-P-36 b,1,1.3273466,0.02402,15.211,85.19,0.063,1821.0,1820.0,5560.0,1.11,1.05
HAT-P-60 b,1,4.7947813,0.06277,18.282,83.75,0.25,1634.0,1772.0,6212.0,2.2,1.44
HAT-P-61 b,1,1.90231289,0.0301,10.077,83.62,0.113,849.5,1505.0,5587.0,0.94,1.0
HAT-P-62 b,1,2.6453235,0.03772,12.027,87.93,0.101,867.2,1512.0,5629.0,1.17,1.02
HAT-P-63 b,1,3.377728,0.04294,12.543,88.45,0.069,387.4,1237.0,5400.0,0.97,0.93
HAT-P-68 b,1,2.29840551,0.02996,12.016,88.73,0.041,184.8,1028.0,4508.0,0.67,0.68
HATS-36 b,1,4.1752387,0.05425,13.843,87.61,0.105,561.0,1356.0,6149.0,1.16,1.22
HATS-47 b,1,3.9228038,0.04269,12.52,87.08,0.088,87.73,853.0,4512.0,0.66,0.67
HATS-49 b,1,4.1480467,0.04515,8.575,88.27,0.071,80.45,835.0,4405.0,0.7,0.71
HATS-65 b,2,3.105161,0.04497,16.825,84.82,0.062,1178.0,1634.0,6277.0,1.31,1.26
HATS-66 b,1,3.1414391,0.04714,15.816,87.06,0.064,2637.0,1998.0,6626.0,1.84,1.41
HATS-74 A b,2,1.73185606,0.02384,11.568,87.39,0.044,106.9,895.0,3776.9,0.58,0.6
HATS-75 b,1,2.7886556,0.032742,9.909,88.07,0.064,59.26,772.0,3790.4,0.58,0.6
HATS-76 b,1,1.9416423,0.02658,12.094,88.24,0.062,129.8,940.0,4016.0,0.63,0.66
HATS-77 b,1,3.0876262,0.03607,13.058,88.44,0.045,78.37,828.0,4071.0,0.64,0.66
