planet_name;number_of_stars;orbital_period;orbit_semi_major_axis;planet_radius;Inclination;eccentricity;insolation_flux;Radial_Velocity_Amplitude;planet_temperature;star_temperature;star_radius;star_mass;calc_semi_major_axis
11 Com b;2;326.03;1.29;;;0.231;;302.8;;4742.0;19.0;2.7;1.2909053269076525
11 Com b;2;;1.21;;;;;;;;;2.6;
11 Com b;2;323.21;1.178;;;0.238;;288.63;;4874.0;13.76;2.09;1.178437942236581
11 UMi b;1;516.21997;1.53;;;0.08;;189.7;;4213.0;29.79;2.78;1.7708137886769075
11 UMi b;1;516.22;1.54;;;0.08;;189.7;;4340.0;24.08;1.8;1.5319648997752862
11 UMi b;1;;1.51;;;;;;;;;1.7;
14 And b;1;185.84;0.83;;;0.0;;100.0;;4813.0;11.0;2.2;0.8288993269814346
14 And b;1;186.76;0.775;;;0.0;;86.08;;4888.0;11.55;1.78;0.7749327342437611
14 And b;1;;0.68;;;;;;;;;1.2;
14 Her b;1;1773.40002;2.93;;;0.37;;90.0;;5338.0;0.93;0.9;2.7683441015518717
14 Her b;1;1724.0;2.82;;;0.37;;89.0;;;;1.0;2.813798129100675
14 Her b;1;1796.4;2.8;;;0.338;;90.3;;5255.0;;0.9;2.792228547396899
14 Her b;1;1773.4;2.77;;;0.369;;90.0;;;;;
14 Her b;1;;2.73;;;0.357;;;;;;0.9;
14 Her b;1;1765.0389;2.774;;144.652;0.373;;89.582;;;;0.91;2.7698191518940365
14 Her b;1;1766.0;2.864;;;0.359;;;;5280.0;1.0;0.91;2.770824543013391
14 Her b;1;1766.41;2.83;;;0.3674;;89.49;;5314.94;1.0;0.97;2.8308684186066846
16 Cyg B b;3;798.5;1.66;;;0.68;;50.5;;5750.0;1.13;1.08;1.728194535959743
16 Cyg B b;3;799.45;1.676;;;0.6832;;53.16;;5711.97;1.16;0.98;1.6744454050008393
16 Cyg B b;3;798.5;1.681;;;0.681;;50.5;;5674.0;;0.99;1.6787902594939885
16 Cyg B b;3;800.8;1.6;;;0.634;;43.9;;5760.0;;1.0;1.6876568190333003
16 Cyg B b;3;799.5;1.68;;;0.689;;51.2;;5747.0;1.13;1.03;1.7025223263886262
16 Cyg B b;3;799.5;1.68;;;0.689;;51.2;;;;;
17 Sco b;1;578.38;1.45;;;0.06;;92.4;;4157.0;25.92;1.22;1.4516554548918283
18 Del b;2;982.85;2.476;;;0.024;;114.96;;4980.0;8.8;2.1;2.477418378952524
18 Del b;2;;2.54;;;;;;;;;2.1;
18 Del b;2;993.3;2.6;;;0.08;;119.4;;4979.0;8.5;2.3;2.5717633200036434
1RXS J160929.1-210524 b;1;;330.0;;;;;;1700.0;4060.0;;0.85;
1RXS J160929.1-210524 b;1;;330.0;;;;;;1700.0;4060.0;;0.85;
1RXS J160929.1-210524 b;1;;330.0;;;;;;1800.0;3993.0;1.31;0.62;
1RXS J160929.1-210524 b;1;;330.0;18.647;;;;;1800.0;4060.0;1.35;0.85;
24 Boo b;1;30.3506;0.19;;;0.042;;59.9;;4893.0;10.64;0.99;0.18978330893944673
24 Boo b;1;30.33;0.194;;;0.032;;55.67;;4816.0;12.19;1.05;0.19345478167935043
24 Sex b;1;452.8;1.333;;;0.09;;40.0;;5098.0;4.9;1.54;1.332639293843065
24 Sex c;1;883.0;2.08;;;0.29;;14.5;;5098.0;4.9;1.54;2.080090057785432
2M0437 b;1;;118.0;;;;;;1450.0;3100.0;0.84;0.17;
2MASS J01033563-5515561 AB b;2;;84.0;;;;;;;;;0.19;
2MASS J01225093-2439505 b;1;;;11.209;;;;;1600.0;3309.0;0.37;0.35;
2MASS J01225093-2439505 b;1;;52.0;;;;;;;3530.0;;0.4;
2MASS J02192210-3925225 b;1;;156.0;16.141;;;;;;3064.0;0.28;0.11;
2MASS J0249-0557 c;2;;1950.0;;;;;;;;;0.05;
2MASS J03590986+2009361 b;1;;572.0;;;;;;2369.0;;;;
2MASS J04414489+2301513 b;1;;15.0;;;;;;;;;0.02;
2MASS J11011926-7732383 b;1;;266.0;;;;;;2677.0;;;;
2MASS J11550485-7919108 b;1;;587.0;;;;;;2506.0;;;;
2MASS J12073346-3932539 b;1;;55.0;;;;;;1250.0;;;0.02;
2MASS J12073346-3932539 b;1;;46.0;;;;;;1150.0;2825.0;0.22;0.19;
2MASS J19383260+4603591 b;2;406.0;;;;0.33;;;;29564.0;0.2;0.48;0.8401674727333115
2MASS J19383260+4603591 b;2;416.0;0.92;;;;;;;;;0.48;0.8539073041151082
2MASS J21252752-8138278 b;1;;7493.0;;;;;;1616.0;;;;
2MASS J22362452+4751425 b;1;;230.0;;;;;;;4045.0;;0.6;
30 Ari B b;4;335.1;0.995;;;0.289;;272.0;;6300.0;1.13;1.16;0.9920579548049278
30 Ari B b;4;345.4;1.01;;;0.18;;177.0;;;1.13;1.16;1.012283863866428
30 Ari B b;4;335.10001;0.99;;;0.29;;272.0;;6331.0;1.41;1.93;1.1755384147232397
4 UMa b;1;269.3;0.87;;;0.432;;215.55;;4415.0;18.11;1.23;0.8744346698049383
4 UMa b;1;270.27;0.877;;;0.453;;242.24;;4415.0;18.11;1.23;0.8765331801383995
42 Dra b;2;479.1;1.19;;;0.38;;110.5;;4200.0;22.03;0.98;1.1902208887907155
47 UMa b;1;1078.0;2.1;;;0.032;;48.4;;5872.0;1.21;1.06;2.0978892515106726
47 UMa b;1;1100.8;2.11;;;0.097;;53.6;;;;;
47 UMa b;1;1083.2;2.11;;;0.049;;49.3;;;;;
47 UMa b;1;1076.6;2.059;;;0.016;;48.16;;5829.16;1.14;1.01;2.0625831734730067
47 UMa b;1;1076.6;2.1;;;0.012;;46.6;;5882.0;;1.06;2.0960725038029735
47 UMa c;1;2391.0;3.6;;;0.098;;8.0;;5872.0;1.21;1.06;3.567985669297565
47 UMa c;1;2287.0;3.404;;;0.179;;7.8;;5829.16;1.14;1.01;3.4084165327283107
47 UMa c;1;7586.0;7.73;;;0.005;;13.3;;;;;
47 UMa d;1;19000.0;13.8;;;0.38;;12.4;;5829.16;1.14;1.01;13.981194821299626
47 UMa d;1;14002.0;11.6;;;0.16;;13.8;;5872.0;1.21;1.06;11.592135070284648
51 Eri b;3;14965.0;14.0;;138.0;0.21;;;;7295.0;1.49;1.65;14.043668122192438
51 Eri b;3;11688.0;12.0;;133.0;0.45;;;;7295.0;1.49;1.65;11.91030488562213
51 Eri b;3;;13.2;;;;;;700.0;;;1.75;
51 Peg b;1;4.2293;;;;0.0;;59.0;;5773.0;1.29;;
51 Peg b;1;4.23077;0.052;;;0.0;;57.3;;;;;
51 Peg b;1;4.2307969;0.05235;;;0.0042;;55.73;;5760.76;1.19;1.07;0.052361346533694925
51 Peg b;1;4.230785;0.0527;;;0.013;;55.94;;5758.0;1.18;1.03;0.051700467998260675
51 Peg b;1;4.231;0.052;;80.0;0.0;;55.2;;;;1.04;0.05186900203454655
55 Cnc b;2;14.67;0.115;;;0.0197;;67.365;;;;0.95;0.11529116823430431
55 Cnc b;2;14.6516;0.1134;;;0.0;;71.37;;5172.0;0.94;0.91;0.1135547386382053
55 Cnc b;2;14.6;0.113;;;0.0;;;700.0;;;;
55 Cnc b;2;14.65126;0.1138;;;0.0159;;71.84;;5250.0;0.96;0.9;0.11313550392292981
55 Cnc b;2;14.651;0.1134;;;0.004;;71.11;;5250.0;0.96;0.9;0.11313416545702218
55 Cnc b;2;14.65162;0.115;;;0.014;;;;5250.0;0.96;0.9;0.11313735717034658
55 Cnc b;2;14.65152;0.115227;;90.0;0.0034;;71.4;;;;0.95;0.11519432531860795
55 Cnc b;2;14.648;0.11;;;0.051;;77.1;;5200.0;;0.85;0.11098389395812451
55 Cnc b;2;14.647;0.115;;;0.03;;78.3;;;;;
55 Cnc b;2;14.65171;0.1162;;;0.0048;;71.08;;5317.89;0.96;0.97;0.1159981019568458
55 Cnc b;2;14.653;0.115;;;0.02;;72.2;;;;0.95;0.11520208263577117
55 Cnc b;2;14.465314;0.11339;;89.73;0.0023;;71.47;;5250.0;0.96;0.9;0.11217623052755428
55 Cnc c;2;43.93;0.24;;;0.44;;12.946;;;;0.95;0.23952458671230167
55 Cnc c;2;44.38;0.237;;;0.07;;10.12;;5250.0;0.96;0.9;0.2368502226327283
55 Cnc c;2;44.4175;0.241376;;90.0;0.02;;10.18;;;;0.95;0.24129336017915445
55 Cnc c;2;44.3827;0.2432;;;0.048;;10.01;;5317.89;0.96;0.97;0.24284797484635715
55 Cnc c;2;44.3446;0.24;;;0.086;;;;5250.0;0.96;0.9;0.2367242557867783
55 Cnc c;2;44.3989;0.2373;;;0.03;;9.89;;5172.0;0.94;0.91;0.2377917045035192
55 Cnc c;2;44.3787;0.238;;;0.053;;10.06;;5250.0;0.96;0.9;0.23684559732414098
55 Cnc c;2;44.373;0.23735;;89.73;0.072;;10.48;;5250.0;0.96;0.9;0.23682531659178024
55 Cnc d;2;4820.0;5.54;;;0.139;;35.3;;5317.89;0.96;0.97;5.527855719128778
55 Cnc d;2;4545.0;5.28;;;0.24;;37.8;;;;;
55 Cnc d;2;5360.0;5.9;;;0.16;;49.3;;;;0.95;5.89231320676029
55 Cnc d;2;4867.0;5.446;;89.73;0.0269;;47.3;;5250.0;0.96;0.9;5.4265419271610345
55 Cnc d;2;5574.2;5.957;;;0.13;;38.6;;5172.0;0.94;0.91;5.962159511547685
55 Cnc d;2;4517.4;5.257;;;0.327;;49.786;;;;0.95;5.257367414054445
55 Cnc d;2;5218.0;5.77;;;0.025;;;;5250.0;0.96;0.9;5.684404595384222
55 Cnc d;2;5370.0;5.84;;;0.063;;47.2;;5250.0;0.96;0.9;5.794266362168956
55 Cnc d;2;4825.0;5.503;;90.0;0.019;;48.29;;;;0.95;5.4933951839455455
