,pl_name,pl_radj,pl_bmassj,pl_bmassprov,pl_orbper,pl_orbeccen,pl_orbincl,pl_eqt,st_mass,st_met,st_age,sy_snum,sy_pnum
0,11 Com b,,19.4,Msini,326.03,0.231,,,2.7,-0.35,,2,1
1,11 UMi b,,14.74,Msini,516.21997,0.08,,804.2200825,2.78,-0.02,1.56,1,1
2,14 And b,,3.2,Msini,185.84,,,845.4262062,2.2,-0.24,,1,1
3,14 Her b,,8.13881,Mass,1765.038901,0.372689,144.652,151.6668315,0.91,0.415,3.9,1,2
4,16 Cyg B b,,1.78,Msini,798.5,0.68,,,1.08,0.06,,3,1
5,17 Sco b,,4.32,Msini,578.38,0.06,,846.9936277,1.22,-0.01,5.13,1,1
6,18 Del b,,9.84,Msini,993.3,0.08,,,2.3,-0.052,,2,1
7,1RXS J160929.1-210524 b,,8,Mass,,,,1700,0.85,,0.005,1,1
8,24 Boo b,,0.91,Msini,30.3506,0.042,,1766.572305,0.99,-0.77,6.92,1,1
9,24 Sex b,,1.99,Msini,452.8,0.09,,471.3635097,1.54,-0.03,2.7,1,2
10,24 Sex c,,0.86,Msini,883,0.29,,377.2864405,1.54,-0.03,2.7,1,2
11,2M0437 b,,4,Mass,,,,1450,0.17,0.01,2.5,1,1
12,2MASS J01033563-5515561 AB b,,13,Mass,,,,,0.19,,0.03,2,1
13,2MASS J01225093-2439505 b,,24.5,Mass,,,,1600,0.4,,0.12,1,1
14,2MASS J02192210-3925225 b,1.44,13.9,Mass,,,,,0.11,,0.035,1,1
15,2MASS J04414489+2301513 b,,7.5,Mass,,,,,0.02,,0.001,1,1
16,2MASS J12073346-3932539 b,,5,Mass,,,,1250,0.02,,0.008,1,1
17,2MASS J19383260+4603591 b,,1.86,Msini,406,0.33,,,0.48,,,2,3
18,2MASS J22362452+4751425 b,,12.5,Mass,,,,,0.6,,0.12,1,1
19,30 Ari B b,,13.82,Msini,335.10001,0.29,,,1.93,0.19,0.91,4,1
20,4 UMa b,,7.1,Msini,269.3,0.432,,968.8145308,1.23,-0.25,4.604,1,1
21,42 Dra b,,3.88,Msini,479.1,0.38,,,0.98,-0.46,9.49,2,1
22,47 UMa b,,2.53,Msini,1078,0.032,,211.50358,1.06,0.04,,1,3
23,47 UMa c,,0.54,Msini,2391,0.098,,161.8902523,1.06,0.04,,1,3
24,47 UMa d,,1.64,Msini,14002,0.16,,89.81534328,1.06,0.04,,1,3
25,51 Eri b,,,,13326.5,0.33,135.5,,1.75,-0.027,0.02,3,1
26,51 Peg b,,0.472,Msini,4.230785,0.013,80,1350.097141,1.03,0.18,10,1,1
27,55 Cnc b,,0.8036,Msini,14.6516,0,89.73,,0.91,0.35,5.25,2,5
28,55 Cnc c,,0.1611,Msini,44.3989,0.03,89.73,,0.91,0.35,,2,5
29,55 Cnc d,,3.12,Msini,5574.2,0.13,89.73,,0.91,0.35,5.5,2,5
30,55 Cnc e,0.167,0.02514,Mass,0.7365474,0.05,83.59,1958,0.91,0.35,,2,5
31,55 Cnc f,,0.1503,Msini,259.88,0.08,89.73,,0.91,0.35,,2,5
32,6 Lyn b,,2.01,Msini,934.3,0.073,,375.1163638,1.44,-0.13,,1,1
33,61 Vir b,,0.016,Msini,4.215,0.12,,1200.251485,0.94,-0.01,8.96,1,3
34,61 Vir c,,0.057,Msini,38.021,0.14,,576.5853453,0.94,-0.01,8.96,1,3
35,61 Vir d,,0.072,Msini,123.01,0.35,,382.6324746,0.94,-0.01,8.96,1,3
36,7 CMa b,,2.53,Msini,735.1,0.06,,350.648712,1.34,0.21,4.3,1,2
37,7 CMa c,,,,996,0.08,,350.0753779,1.34,0.21,4.3,1,2
38,70 Vir b,,7.416,Msini,116.688,0.3988,,526.6137694,1.09,-0.0505,7.885,1,1
39,75 Cet b,,,,691.9,0.117,,,2.49,0,,2,1
40,8 UMi b,,1.31,Msini,93.4,0.06,,1101.258482,1.44,-0.03,1.7,1,1
41,81 Cet b,,4.01,Msini,952.7,0.206,,480.4387591,2.4,-0.06,,1,1
42,91 Aqr b,,,,181.4,0.027,,,1.4,-0.03,3.56,3,1
43,AB Aur b,,,,,0.4,42.6,,2.4,,0.003,1,1
44,AB Pic b,,13.5,Mass,,,,,,,0.03,1,1
45,AU Mic b,0.36775,0.0633,Mass,8.4629991,0.186,89.39333333,593,0.5,,0.022,1,2
46,AU Mic c,0.269,0.0302,Mass,18.858991,0.0855,89.195,454,0.5,,0.022,1,2
47,BD+03 2562 b,,6.4,Msini,481.9,0.2,,1001.847484,1.14,-0.71,5.2,1,1
48,BD+14 4559 b,,1.04,Msini,268.94,0.29,,282.3982326,0.49,0.17,,1,1
49,BD+15 2375 b,,1.061,Msini,153.22,0.001,,884.4547782,1.08,-0.22,7.41,1,1
50,BD+15 2940 b,,,,137.48,0.26,,1208.6658,1.1,0.28,7.1,1,1
51,BD+20 2457 b,,55.59,Msini,379.63,0.15,,1040.74183,10.83,-0.79,,1,2
52,BD+20 2457 c,,,,621.99,0.18,,984.9399855,2.8,-1,,1,2
53,BD+20 274 b,,,,578.2,0.21,,767.290777,0.8,-0.46,,1,1
54,BD+20 594 b,0.23,0.07,Mass,41.6855,,89.55,546,1.67,-0.15,3.34,1,1
55,BD+45 564 b,,1.36,Msini,307.88,0.12,,,0.81,-0.09,,1,1
56,BD+48 738 b,,,,392.6,0.2,,724.5810421,0.74,-0.2,,1,1
57,BD+48 740 b,,1.7,Msini,733,0.76,,549.1271912,1.09,-0.13,,1,1
58,BD+49 828 b,,1.6,Msini,2590,0.35,,318.9607431,1.52,-0.19,2.34,1,1
59,BD+55 362 b,,0.72,Msini,265.59,0.27,,,0.91,0.18,,1,1
60,BD+60 1417 b,1.31,15,Mass,,,,1303,1,,0.1,1,1
61,BD+63 1405 b,,3.96,Msini,1198.48,0.88,,,0.82,-0.09,,1,1
62,BD-00 4475 b,,25.05,Msini,723.2,0.39,,,0.81,-0.14,,1,1
63,BD-06 1339 b,,0.027,Msini,3.8728,,,,0.7,-0.14,4.4,1,2
64,BD-06 1339 c,,0.17,Msini,125.94,0.31,,,0.7,-0.14,4.4,1,2
