planet_name,number_of_stars,orbital_period,orbit_semi_major_axis,planet_radius,Inclination,eccentricity,insolation_flux,Radial_Velocity_Amplitude,planet_temperature,star_temperature,star_radius,star_mass,Predicted Temperature
55 Cnc e,2,0.7365437,0.01544,2.08,87.3,0.061,,5.93,1958.0,5234.0,0.94,0.91,1923.5415
55 Cnc e,2,0.736539,0.01544,1.91,83.3,,,,,5250.0,0.96,0.9,1938.8252
55 Cnc e,2,0.7365474,0.01544,1.875,83.59,0.05,,6.02,,5172.0,0.94,0.91,1909.0535
55 Cnc e,2,0.736546,0.01583,2.173,,0.0,,6.3,,5250.0,0.96,0.9,1925.291
AU Mic b,1,8.463,0.0645,4.07,89.5,0.0,,8.5,593.0,3700.0,0.75,0.5,548.6258
AU Mic b,1,8.46308,0.0649,3.957,89.579,0.00577,21.2,,600.0,3678.0,0.74,0.51,543.7605
AU Mic b,1,8.46321,0.066,4.203,,0.1,,28.0,,3700.0,0.75,0.5,543.56244
AU Mic c,1,18.85969,0.1108,2.522,89.227,0.00338,7.3,,459.0,3678.0,0.74,0.51,456.67184
AU Mic c,1,18.859019,0.1101,3.24,89.0,0.0,,5.2,454.0,3700.0,0.75,0.5,460.68515
BD+20 594 b,1,41.6855,0.241,2.23,89.55,0.0,,3.1,546.0,5766.0,0.93,0.96,506.4495
BD-14 3065 b,3,4.2889731,0.0656,21.59,80.78,0.066,,1210.0,2001.0,6935.0,2.35,1.41,2184.9707
CFHTWIR-Oph 98 b,1,8040000.0,200.0,20.849,,,,,1800.0,2320.0,0.24,0.01,18135456.0
COCONUTS-2 b,1,402000000.0,7506.0,12.442,,,,,434.0,3406.0,0.39,0.37,950186500.0
CoRoT-1 b,1,1.5089682,0.02752,19.223,85.1,0.036,,190.0,,6298.0,1.23,1.22,1962.4656
CoRoT-1 b,1,1.5089557,0.0261,16.589,86.7,0.0,,198.0,,5950.0,1.14,1.03,1792.3093
CoRoT-1 b,1,1.5089686,0.02536,17.385,84.42,,,188.0,1915.0,5950.0,1.13,0.95,1803.1304
CoRoT-10 b,1,13.2406,0.1055,10.873,88.55,0.524,,297.5,,5075.0,0.79,0.89,638.6065
CoRoT-10 b,1,13.2406,0.106,10.548,88.57,,,301.0,647.0,5075.0,0.74,0.9,620.53357
CoRoT-10 b,1,13.2406,0.1055,10.87,88.55,0.53,,301.0,600.0,5075.0,0.79,0.89,638.6065
